Tanggal,prices,day_count,month,season,weekday,is_holiday,rolling_mean_7,rolling_mean_30,lag_1,lag_7,lag_30,daily_delta,cpi,Inflasi_total,usd_idr,Temperature,Curah Hujan,Kelembapan,day_in_month,nilai_diff,percentage
2020-01-02,32000.0,1,1,Wet,3,False,,,,,,,115.818,0.0,13689.23145,27.22,15.89,83.85,2,,0.0
2020-01-03,32000.0,2,1,Wet,4,False,,,32000.0,,,0.0,115.818,0.0,13884.78613,25.74,6.3,84.54,3,Rp0,0.0
2020-01-04,32000.0,3,1,Wet,5,False,,,32000.0,,,0.0,115.818,0.0,13884.78613,27.17,5.98,80.17,4,Rp0,0.0
2020-01-05,32000.0,4,1,Wet,6,False,,,32000.0,,,0.0,115.818,0.0,13884.78613,27.08,10.94,84.39,5,Rp0,0.0
2020-01-06,32500.0,5,1,Wet,0,False,,,32000.0,,,500.0,115.818,0.0,13934.31641,27.13,1.12,76.09,6,Rp500,1.56
2020-01-07,32500.0,6,1,Wet,1,False,,,32500.0,,,0.0,115.818,0.0,13926.5,26.67,22.5,81.65,7,Rp0,0.0
2020-01-08,32500.0,7,1,Wet,2,False,32214.285714285714,,32500.0,,,0.0,115.818,0.0,13867.23633,26.12,12.1,87.27,8,Rp0,0.0
2020-01-09,33000.0,8,1,Wet,3,False,32357.14285714286,,32500.0,32000.0,,500.0,115.818,0.0,13886.93945,26.64,7.82,84.93,9,Rp500,1.54
2020-01-10,33000.0,9,1,Wet,4,False,32500.0,,33000.0,32000.0,,0.0,115.818,0.0,13827.56055,26.76,14.01,87.64,10,Rp0,0.0
2020-01-11,33000.0,10,1,Wet,5,False,32642.85714285714,,33000.0,32000.0,,0.0,115.818,0.0,13827.56055,27.01,7.98,84.03,11,Rp0,0.0
2020-01-12,33000.0,11,1,Wet,6,False,32785.71428571428,,33000.0,32000.0,,0.0,115.818,0.0,13827.56055,26.38,9.66,86.08,12,Rp0,0.0
2020-01-13,34250.0,12,1,Wet,0,False,33035.71428571428,,33000.0,32500.0,,1250.0,115.818,0.0,13522.43457,26.63,0.78,84.52,13,Rp1250,3.79
2020-01-14,36500.0,13,1,Wet,1,False,33607.142857142855,,34250.0,32500.0,,2250.0,115.818,0.0,13665.30469,27.3,5.62,81.92,14,Rp2250,6.57
2020-01-15,37000.0,14,1,Wet,2,False,34250.0,,36500.0,32500.0,,500.0,115.818,0.0,13668.04004,27.41,1.61,81.8,15,Rp500,1.37
2020-01-16,36000.0,15,1,Wet,3,False,34678.57142857143,,37000.0,33000.0,,-1000.0,115.818,0.0,13665.09668,27.64,1.27,80.26,16,-Rp1000,-2.7
2020-01-17,36000.0,16,1,Wet,4,False,35107.142857142855,,36000.0,33000.0,,0.0,115.818,0.0,13623.0,27.08,3.22,85.28,17,Rp0,0.0
2020-01-20,36000.0,19,1,Wet,0,False,,,,34250.0,,,115.818,0.0,13456.98828,27.11,0.61,76.92,20,Rp0,0.0
2020-01-21,36000.0,20,1,Wet,1,False,,,36000.0,36500.0,,0.0,115.818,0.0,13615.0,27.13,0.83,77.51,21,Rp0,0.0
2020-01-22,35000.0,21,1,Wet,2,False,,,36000.0,37000.0,,-1000.0,115.818,0.0,13651.0,26.97,0.31,76.76,22,-Rp1000,-2.78
2020-01-23,35000.0,22,1,Wet,3,False,,,35000.0,36000.0,,0.0,115.818,0.0,13626.38672,26.61,0.09,81.58,23,Rp0,0.0
2020-01-24,35000.0,23,1,Wet,4,False,,,35000.0,36000.0,,0.0,115.818,0.0,13609.18848,26.97,0.01,79.75,24,Rp0,0.0
2020-01-27,34000.0,26,1,Wet,0,False,,,,36000.0,,,115.818,0.0,13711.97363,27.65,0.0,75.62,27,,0.0
2020-01-28,35000.0,27,1,Wet,1,False,,,34000.0,36000.0,,1000.0,115.818,0.0,13213.24023,27.32,0.0,75.43,28,Rp1000,2.94
