Tanggal,prices,day_count,month,season,weekday,is_holiday,rolling_mean_7,rolling_mean_30,lag_1,lag_7,lag_30,daily_delta,cpi,Inflasi_total,usd_idr,Temperature,Curah Hujan,Kelembapan,day_in_month,nilai_diff,percentage
2020-01-02,35000.0,1,1,Wet,3,False,,,,,,,115.818,0.0,13689.23145,27.22,15.89,83.85,2,,0.0
2020-01-03,35000.0,2,1,Wet,4,False,,,35000.0,,,0.0,115.818,0.0,13884.78613,25.74,6.3,84.54,3,Rp0,0.0
2020-01-04,35000.0,3,1,Wet,5,False,,,35000.0,,,0.0,115.818,0.0,13884.78613,27.17,5.98,80.17,4,Rp0,0.0
2020-01-05,35000.0,4,1,Wet,6,False,,,35000.0,,,0.0,115.818,0.0,13884.78613,27.08,10.94,84.39,5,Rp0,0.0
2020-01-06,35000.0,5,1,Wet,0,False,,,35000.0,,,0.0,115.818,0.0,13934.31641,27.13,1.12,76.09,6,Rp0,0.0
2020-01-07,35000.0,6,1,Wet,1,False,,,35000.0,,,0.0,115.818,0.0,13926.5,26.67,22.5,81.65,7,Rp0,0.0
2020-01-08,35000.0,7,1,Wet,2,False,35000.0,,35000.0,,,0.0,115.818,0.0,13867.23633,26.12,12.1,87.27,8,Rp0,0.0
2020-01-09,34500.0,8,1,Wet,3,False,34928.57142857143,,35000.0,35000.0,,-500.0,115.818,0.0,13886.93945,26.64,7.82,84.93,9,-Rp500,-1.43
2020-01-10,34500.0,9,1,Wet,4,False,34857.142857142855,,34500.0,35000.0,,0.0,115.818,0.0,13827.56055,26.76,14.01,87.64,10,Rp0,0.0
2020-01-11,34500.0,10,1,Wet,5,False,34785.71428571428,,34500.0,35000.0,,0.0,115.818,0.0,13827.56055,27.01,7.98,84.03,11,Rp0,0.0
2020-01-12,34500.0,11,1,Wet,6,False,34714.28571428572,,34500.0,35000.0,,0.0,115.818,0.0,13827.56055,26.38,9.66,86.08,12,Rp0,0.0
2020-01-13,34500.0,12,1,Wet,0,False,34642.857142857145,,34500.0,35000.0,,0.0,115.818,0.0,13522.43457,26.63,0.78,84.52,13,Rp0,0.0
2020-01-14,32750.0,13,1,Wet,1,False,34321.42857142857,,34500.0,35000.0,,-1750.0,115.818,0.0,13665.30469,27.3,5.62,81.92,14,-Rp1750,-5.07
2020-01-15,32750.0,14,1,Wet,2,False,34000.0,,32750.0,35000.0,,0.0,115.818,0.0,13668.04004,27.41,1.61,81.8,15,Rp0,0.0
2020-01-16,32750.0,15,1,Wet,3,False,33750.0,,32750.0,34500.0,,0.0,115.818,0.0,13665.09668,27.64,1.27,80.26,16,Rp0,0.0
2020-01-17,32000.0,16,1,Wet,4,False,33392.857142857145,,32750.0,34500.0,,-750.0,115.818,0.0,13623.0,27.08,3.22,85.28,17,-Rp750,-2.29
2020-01-20,32000.0,19,1,Wet,0,False,,,,34500.0,,,115.818,0.0,13456.98828,27.11,0.61,76.92,20,Rp0,0.0
2020-01-21,32000.0,20,1,Wet,1,False,,,32000.0,32750.0,,0.0,115.818,0.0,13615.0,27.13,0.83,77.51,21,Rp0,0.0
2020-01-22,32000.0,21,1,Wet,2,False,,,32000.0,32750.0,,0.0,115.818,0.0,13651.0,26.97,0.31,76.76,22,Rp0,0.0
2020-01-23,32000.0,22,1,Wet,3,False,,,32000.0,32750.0,,0.0,115.818,0.0,13626.38672,26.61,0.09,81.58,23,Rp0,0.0
2020-01-24,32000.0,23,1,Wet,4,False,,,32000.0,32000.0,,0.0,115.818,0.0,13609.18848,26.97,0.01,79.75,24,Rp0,0.0
2020-01-27,32000.0,26,1,Wet,0,False,,,,32000.0,,,115.818,0.0,13711.97363,27.65,0.0,75.62,27,,0.0
2020-01-28,32000.0,27,1,Wet,1,False,,,32000.0,32000.0,,0.0,115.818,0.0,13213.24023,27.32,0.0,75.43,28,Rp0,0.0
2020-01-29,32000.0,28,1,Wet,2,False,,,32000.0,32000.0,,0.0,115.818,0.0,13634.0,27.31,0.04,81.53,29,Rp0,0.0
2020-01-30,32000.0,29,1,Wet,3,False,,,32000.0,32000.0,,0.0,115.818,0.0,13614.01465,27.24,0.3,81.82,30,Rp0,0.0
2020-01-31,32000.0,30,1,Wet,4,False,,,32000.0,32000.0,,0.0,115.818,0.0,13643.18066,27.14,1.72,81.5,31,Rp0,0.0
2020-02-01,32000.0,31,2,Wet,5,False,,,32000.0,,35000.0,0.0,116.14,0.278022414,13643.18066,27.07,8.43,82.98,1,Rp0,0.0
2020-02-02,32000.0,32,2,Wet,6,False,32000.0,,32000.0,,35000.0,0.0,116.14,0.278022414,13643.18066,27.44,11.59,80.95,2,Rp0,0.0
2020-02-03,32000.0,33,2,Wet,0,False,32000.0,,32000.0,32000.0,35000.0,0.0,116.14,0.278022414,13633.12695,26.85,46.08,86.21,3,Rp0,0.0
2020-02-04,32000.0,34,2,Wet,1,False,32000.0,,32000.0,32000.0,35000.0,0.0,116.14,0.278022414,13735.5,26.98,5.24,80.97,4,Rp0,0.0
2020-02-05,32000.0,35,2,Wet,2,False,32000.0,,32000.0,32000.0,35000.0,0.0,116.14,0.278022414,13702.40723,27.15,0.37,79.49,5,Rp0,0.0
2020-02-06,32000.0,36,2,Wet,3,False,32000.0,,32000.0,32000.0,35000.0,0.0,116.14,0.278022414,13668.26758,26.89,0.02,80.86,6,Rp0,0.0
2020-02-07,32000.0,37,2,Wet,4,False,32000.0,,32000.0,32000.0,35000.0,0.0,116.14,0.278022414,13698.0,27.1,0.11,78.55,7,Rp0,0.0
2020-02-08,32000.0,38,2,Wet,5,False,32000.0,,32000.0,32000.0,34500.0,0.0,116.14,0.278022414,13698.0,27.08,1.5,80.4,8,Rp0,0.0
2020-02-09,32000.0,39,2,Wet,6,False,32000.0,,32000.0,32000.0,34500.0,0.0,116.14,0.278022414,13698.0,27.23,0.3,77.13,9,Rp0,0.0
2020-02-10,32000.0,40,2,Wet,0,False,32000.0,,32000.0,32000.0,34500.0,0.0,116.14,0.278022414,13675.85352,27.02,1.67,76.15,10,Rp0,0.0
2020-02-11,32000.0,41,2,Wet,1,False,32000.0,,32000.0,32000.0,34500.0,0.0,116.14,0.278022414,13691.58984,27.0,6.33,80.37,11,Rp0,0.0
2020-02-12,32000.0,42,2,Wet,2,False,32000.0,,32000.0,32000.0,34500.0,0.0,116.14,0.278022414,13657.55371,27.09,8.69,80.48,12,Rp0,0.0
2020-02-13,32000.0,43,2,Wet,3,False,32000.0,,32000.0,32000.0,32750.0,0.0,116.14,0.278022414,13500.7373,26.54,7.58,85.13,13,Rp0,0.0
2020-02-14,32000.0,44,2,Wet,4,False,32000.0,,32000.0,32000.0,32750.0,0.0,116.14,0.278022414,13695.40039,26.91,2.79,86.02,14,Rp0,0.0
2020-02-17,32000.0,47,2,Wet,0,False,,,,32000.0,,,116.14,0.278022414,13681.29004,26.95,0.14,80.82,17,Rp0,0.0
2020-02-18,32000.0,48,2,Wet,1,False,,,32000.0,32000.0,,0.0,116.14,0.278022414,13649.24121,27.04,0.51,79.98,18,Rp0,0.0
2020-02-19,32000.0,49,2,Wet,2,False,,,32000.0,32000.0,32000.0,0.0,116.14,0.278022414,13768.0,26.75,0.81,80.51,19,Rp0,0.0
2020-02-20,32000.0,50,2,Wet,3,False,,,32000.0,32000.0,32000.0,0.0,116.14,0.278022414,13762.0,26.92,1.74,78.58,20,Rp0,0.0
2020-02-21,32000.0,51,2,Wet,4,False,,,32000.0,32000.0,32000.0,0.0,116.14,0.278022414,13703.48242,26.88,1.26,77.19,21,Rp0,0.0
2020-02-24,32750.0,54,2,Wet,0,False,,,,32000.0,,,116.14,0.278022414,13771.48633,27.11,1.51,82.96,24,Rp750,2.34
2020-02-25,33500.0,55,2,Wet,1,False,,,32750.0,32000.0,,750.0,116.14,0.278022414,13879.92969,27.04,3.37,85.36,25,Rp750,2.29
2020-02-26,33500.0,56,2,Wet,2,False,,,33500.0,32000.0,32000.0,0.0,116.14,0.278022414,14056.5,27.16,0.36,81.93,26,Rp0,0.0
2020-02-27,33500.0,57,2,Wet,3,False,,,33500.0,32000.0,32000.0,0.0,116.14,0.278022414,13931.0,27.36,0.03,77.28,27,Rp0,0.0
2020-02-28,32000.0,58,2,Wet,4,False,,,33500.0,32000.0,32000.0,-1500.0,116.14,0.278022414,14316.0,27.32,0.89,81.61,28,-Rp1500,-4.48
2020-02-29,32000.0,59,2,Wet,5,False,,,32000.0,,32000.0,0.0,116.14,0.278022414,14316.0,27.32,3.95,85.87,29,-Rp1500,-4.48
2020-03-01,32000.0,60,3,Wet,6,False,32750.0,,32000.0,,32000.0,0.0,116.251,0.095574307,14316.0,27.35,15.07,86.41,1,-Rp1500,-4.48
2020-03-02,35000.0,61,3,Wet,0,False,33071.42857142857,,32000.0,32750.0,32000.0,3000.0,116.251,0.095574307,13971.96191,26.96,32.54,89.39,2,Rp3000,9.38
2020-03-03,35000.0,62,3,Wet,1,False,33285.71428571428,,35000.0,33500.0,32000.0,0.0,116.251,0.095574307,14220.0,26.73,11.37,88.19,3,Rp0,0.0
2020-03-04,35000.0,63,3,Wet,2,False,33500.0,,35000.0,33500.0,32000.0,0.0,116.251,0.095574307,14199.5,27.1,2.16,85.54,4,Rp0,0.0
2020-03-05,35000.0,64,3,Wet,3,False,33714.28571428572,,35000.0,33500.0,32000.0,0.0,116.251,0.095574307,14256.0,27.18,2.74,84.2,5,Rp0,0.0
2020-03-06,34750.0,65,3,Wet,4,False,34107.142857142855,,35000.0,32000.0,32000.0,-250.0,116.251,0.095574307,14309.59961,27.07,5.98,82.69,6,-Rp250,-0.71
2020-03-07,34750.0,66,3,Wet,5,False,34500.0,,34750.0,32000.0,32000.0,0.0,116.251,0.095574307,14309.59961,26.51,12.49,83.97,7,-Rp250,-0.71
2020-03-08,34750.0,67,3,Wet,6,False,34892.857142857145,,34750.0,32000.0,32000.0,0.0,116.251,0.095574307,14309.59961,26.88,0.82,78.08,8,-Rp250,-0.71
2020-03-09,32400.0,68,3,Wet,0,False,34521.42857142857,,34750.0,35000.0,32000.0,-2350.0,116.251,0.095574307,14251.53906,27.1,0.07,78.55,9,-Rp2350,-6.76
2020-03-10,32900.0,69,3,Wet,1,False,34221.42857142857,,32400.0,35000.0,32000.0,500.0,116.251,0.095574307,14094.81836,27.05,0.13,78.7,10,Rp500,1.54
2020-03-11,32900.0,70,3,Wet,2,False,33921.42857142857,,32900.0,35000.0,32000.0,0.0,116.251,0.095574307,14272.90039,27.15,0.59,82.33,11,Rp0,0.0
